Par_name Par_value Par_error
Xray-peak 109 108
centroid 108.811 110.661
concentration 0.101010 0.00774635
M20 -1.03400 0.053691
Cas 2.56632 0.09882
cAs 1.57037 0.012885
caS 1.30696 0.01141
ww 0.028098557 0.0025705
ell 0.96619411 0.0188035
PA -9.34094 15.3339
P10 7.76398e-05 2.34914e-05
P20 1.80560e-06 1.74086e-06
P30 4.48866e-08 2.85818e-07
P40 3.17527e-09 9.44129e-08
