Par_name Par_value Par_error
Xray-peak 26 27
centroid 26.925 26.05
concentration 0.0583333 0.0206916
M20 -2.02915 0.477515
Cas 4.07097 0.528455
cAs 1.65833 0.060515
caS 1.31019 0.03772
ww 0.027690232 0.0104105
ell 0.96541844 0.080798
PA -48.6334 32.511
P10 0.000840333 0.000493829
P20 4.90072e-07 1.67211e-05
P30 1.03559e-05 1.38721e-05
P40 1.73348e-06 3.64112e-06
