Par_name Par_value Par_error
Xray-peak 158 158
centroid 155.885 158.08
concentration 0.281811 0.003059
M20 -2.61962 0.037435
Cas 4.68680 0.07997
cAs 0.958962 0.007225
caS 0.547839 0.0042625
ww 0.0063701500 0.000581055
ell 0.96181805 0.009747
PA -70.9297 4.3409
P10 1.92999e-05 2.79765e-06
P20 3.06829e-07 1.05921e-07
P30 1.25447e-08 1.37174e-08
P40 5.35547e-09 4.54388e-09
