Par_name Par_value Par_error
Xray-peak 81 81
centroid 80.7572 79.7347
concentration 0.219024 0.00918
M20 -2.59830 0.35535
Cas 4.82737 0.23869
cAs 1.40926 0.015795
caS 1.05060 0.01777
ww 0.0089708240 0.00271711
ell 0.96191455 0.029737
PA 70.4873 14.1005
P10 3.94321e-05 2.06064e-05
P20 1.51059e-06 1.79975e-06
P30 6.65304e-08 2.08749e-07
P40 4.12983e-08 1.21981e-07
