Par_name Par_value Par_error
Xray-peak 49 56
centroid 50.3118 57.1994
concentration 0.112360 0.0163441
M20 -1.05743 0.147745
Cas 2.87159 0.204035
cAs 1.58989 0.030855
caS 1.28590 0.022335
ww 0.027152509 0.00534495
ell 0.91863367 0.0515365
PA 55.6780 20.3854
P10 0.000209344 0.000118541
P20 1.70845e-05 1.41131e-05
P30 4.35744e-06 4.49945e-06
P40 2.75649e-06 2.21932e-06
