Par_name Par_value Par_error
Xray-peak 73 74
centroid 72.8401 73.3538
concentration 0.237678 0.014065
M20 -3.18597 0.60514
Cas 5.48975 0.313315
cAs 1.49179 0.0191
caS 1.18473 0.0195535
ww 0.0064159224 0.00265587
ell 0.99347307 0.025696
PA -7.40361 46.9007
P10 1.34871e-05 1.43239e-05
P20 1.66992e-07 1.1594e-06
P30 6.97845e-07 7.86027e-07
P40 1.30877e-07 3.27138e-07
