Par_name Par_value Par_error
Xray-peak 74 74
centroid 74.7976 74.8639
concentration 0.229583 0.0107735
M20 -2.81337 0.35425
Cas 5.26292 0.366875
cAs 1.40381 0.02248
caS 1.04365 0.015628
ww 0.0094945897 0.00297404
ell 0.89352783 0.037231
PA -33.0948 8.007
P10 4.20743e-05 2.07718e-05
P20 5.54959e-06 3.122e-06
P30 1.29287e-06 8.61128e-07
P40 1.35887e-07 2.10928e-07
