Par_name Par_value Par_error
Xray-peak 57 56
centroid 56.8105 57.1038
concentration 0.121911 0.0130525
M20 -1.16147 0.126677
Cas 3.29933 0.205185
cAs 1.45140 0.026855
caS 1.14625 0.022719
ww 0.015082354 0.00376045
ell 0.90437698 0.0339015
PA -11.5738 11.9365
P10 7.08262e-05 5.55036e-05
P20 9.40776e-06 7.42313e-06
P30 1.57522e-06 1.70322e-06
P40 9.58016e-07 8.67649e-07
