Par_name Par_value Par_error
Xray-peak 51 46
centroid 47.0036 43.9176
concentration 0.0501792 0.0111164
M20 -0.773970 0.0516785
Cas 1.68416 0.14243
cAs 1.42652 0.04129
caS 1.16129 0.033107
ww 0.086324392 0.0106665
ell 0.91914802 0.0587695
PA -41.6712 5.2942
P10 0.00380256 0.000740845
P20 0.000368284 9.5026e-05
P30 2.03245e-05 9.94045e-06
P40 5.45773e-07 1.97645e-06
