Par_name Par_value Par_error
Xray-peak 1032 1054
centroid 919.855 947.988
concentration 0.156456 0.000214
M20 -1.27888 0.001285
Cas 2.78729 0.00316
cAs 1.36585 0.00068
caS 0.740727 0.000497
ww 0.045426798 7.065e-05
ell 0.84449989 0.000899
PA -79.3216 0.12825
P10 0.000140998 4.395e-07
P20 2.22628e-06 1.3805e-08
P30 1.27306e-07 1.4745e-09
P40 2.71731e-08 4.442e-10
