Par_name Par_value Par_error
Xray-peak 1521 1443
centroid 1415.63 1419.5
concentration 0.479140 0.0029025
M20 -3.79781 0.0167
Cas 7.84208 0.032755
cAs 1.25623 0.002475
caS 1.11039 0.0046405
ww 0.069744632 0.0006253
ell 0.52479952 0.0062075
PA -69.8516 0.33575
P10 0.000652629 1.05085e-05
P20 5.73173e-05 1.291e-06
P30 9.33815e-06 3.21925e-07
P40 1.94385e-06 1.05165e-07
