Par_name Par_value Par_error
Xray-peak 1236 1031
centroid 1143.44 1042.88
concentration 0.116058 0.0009305
M20 -1.05324 0.00633
Cas 2.67548 0.00936
cAs 1.73518 0.00228
caS 1.31673 0.00206
ww 0.054672036 0.00038545
ell 0.91616111 0.002621
PA 84.5591 1.023
P10 0.000257834 3.3285e-06
P20 3.75380e-06 1.21575e-07
P30 1.47406e-07 1.39045e-08
P40 2.95653e-08 3.1581e-09
