Par_name Par_value Par_error
Xray-peak 611 618
centroid 622.332 569.667
concentration 0.215708 0.0027065
M20 -1.52480 0.022385
Cas 4.12781 0.048325
cAs 1.74332 0.00545
caS 1.21921 0.004645
ww 0.061062920 0.00056645
ell 0.84038402 0.010636
PA 51.9721 0.9636
P10 0.000414649 7.0515e-06
P20 7.25508e-06 3.2883e-07
P30 9.34673e-07 6.75455e-08
P40 9.14079e-08 1.35162e-08
