Par_name Par_value Par_error
Xray-peak 817 806
centroid 806.8 793.218
concentration 0.345981 0.0019485
M20 -2.85192 0.039485
Cas 5.18009 0.027505
cAs 1.42639 0.004735
caS 1.00803 0.002695
ww 0.011311887 0.00033265
ell 0.87243723 0.004046
PA -6.72602 0.74217
P10 2.24505e-05 9.3985e-07
P20 1.30125e-06 7.281e-08
P30 1.85169e-08 4.83135e-09
P40 1.38012e-08 2.5236e-09
