Par_name Par_value Par_error
Xray-peak 69 67
centroid 68.335 68.2382
concentration 0.0967742 0.0120732
M20 -0.580624 0.050994
Cas 2.05894 0.160605
cAs 1.63275 0.03366
caS 1.45740 0.01405
ww 0.012638133 0.0060831
ell 0.99618978 0.027513
PA 39.1623 77.4978
P10 7.37302e-05 7.15397e-05
P20 1.55288e-06 5.81796e-06
P30 1.51143e-06 2.98537e-06
P40 2.48183e-07 6.77031e-07
