Par_name Par_value Par_error
Xray-peak 64 62
centroid 63.0203 63.282
concentration 0.104651 0.0180335
M20 -0.593991 0.057015
Cas 2.08758 0.147385
cAs 1.64826 0.04305
caS 1.46028 0.01907
ww 0.016067760 0.00665745
ell 0.97313178 0.0316285
PA -31.5270 52.513
P10 0.000119650 8.60454e-05
P20 3.99539e-07 5.29359e-06
P30 5.62393e-07 2.09382e-06
P40 5.22504e-07 1.61916e-06
